year,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
2020,Branden Mack,39902,WR,TEMPLE,7,11.9,6,45.6,33.3,4,12,0,13.3,4,16,306,0,52.4,72.5,60.9,,59.4,0.8,2,6,41,0,0,256,2,26,93.8,240,6.3,16,39.3,57,3,92.2,236,291,116,4.5,11.2,1.21
2020,Kyle Philips,84463,WR,UCLA,7,7.9,9,66.7,55.6,5,9,0,5,2,20,324,0,77.1,60.8,73.1,,71.1,7.8,18,4,21,0,0,232,1,38,93.5,217,83.6,194,67.1,57,2,8.6,20,370,137,3.6,9.7,1.71
2020,Jason Brownlee,121451,WR,SO MISS,10,12.3,5,59.6,53.8,7,13,0,8.1,3,22,296,0,69.7,38.1,69.5,,68.4,0,0,3,88,0,0,306,4,34,95.1,291,4.9,15,103.4,57,5,95.1,291,606,257,7.6,17.8,2.08
2020,Dee Wiggins,78016,WR,MIAMI FL,11,13.7,1,54.4,35.7,5,14,0,16.2,6,15,220,0,45.5,72.1,56,62.1,54,0.2,1,2,40,0.2,1,401,1,31,91.8,368,9.7,39,76.5,57,3,90,361,358,113,3.6,11.5,0.97
2020,Amon-Ra St. Brown,84470,WR,USC,6,10.9,3,71.9,57.1,8,14,0,8.9,4,28,326,0,66,77.6,71.7,,73,0.4,1,2,48,0,0,273,2,41,94.5,258,34.8,95,121.9,57,7,64.5,176,478,163,4,11.7,1.85
2020,Aron Cruickshank,84516,WR,RUTGERS,9,6.2,5,64.9,37.5,3,8,0,9.8,4,12,278,1,62.5,57.7,57.8,62.1,56.9,0,0,2,43,0.4,1,246,1,37,92.7,228,96.3,237,65,57,1,3.7,9,241,155,4.2,6.5,1.06
2020,Taylor Morin,97213,WR,WAKE,9,10.8,0,56.1,57.1,4,7,1,8.6,3,21,339,0,65.7,82.7,70.8,,71.7,0,0,0,46,0,0,241,1,32,93.4,225,46.9,113,96,57,3,53.1,128,405,126,3.9,12.7,1.8
2020,Keke Chism,124198,WR,MISSOURI,9,12.1,2,61.4,50,7,14,0,7.9,3,23,229,0,69.1,72.6,66.5,,65.9,0,0,1,29,0,0,308,0,35,94.2,290,18.2,56,85.3,57,1,81.8,252,458,148,4.2,13.1,1.58
2020,Joshua Moore,78101,WR,TEXAS,10,13.8,4,53.6,35,7,20,0,3.2,1,22,311,0,80.9,72.3,64.8,,66.8,0,0,2,78,0,0,301,0,30,92.7,279,19.9,60,106.5,56,9,80.1,241,472,194,6.5,15.7,1.69
2020,Duece Watts,123237,WR,TULANE,11,14.4,2,55.4,53.3,8,15,0,20.5,8,23,319,0,31.6,72,66.1,,66.2,0,0,1,52,0,0,282,2,31,92.9,262,8.5,24,114.6,56,6,91.5,258,512,163,5.3,16.5,1.95
2020,Donavon Greene,97813,WR,WAKE,8,18.1,5,51.8,40,6,15,0,19.4,7,20,339,0,36.8,73.5,72.5,,71,0,0,1,41,0,0,259,1,29,95,246,12.4,32,93,56,2,87.6,227,582,139,4.8,20.1,2.37
2020,Mark Pope,78014,WR,MIAMI FL,11,13.7,2,57.1,36.4,4,11,0,15.8,6,16,220,1,48.8,30.8,58,73.3,57.3,0,0,0,39,0.9,3,347,3,32,91.4,317,13,45,91.4,56,2,87,302,400,185,5.8,12.5,1.26
2020,Kylen Granson,40630,TE,SMU,10,11.1,7,62.5,57.1,4,7,0,12.5,5,24,287,0,54.1,73.1,70.7,70.3,72.5,30.1,110,2,42,7.7,28,366,0,35,87.4,320,60.9,223,108.9,56,5,3,11,536,214,6.1,15.3,1.68
2020,Gunner Romney,84148,WR,BYU,10,16.1,5,69.6,61.1,11,18,0,7.1,3,22,128,0,71.2,74.7,79.3,,79.9,0,0,0,52,0,0,249,0,39,94,234,13.3,33,124.1,56,2,86.7,216,767,229,5.9,19.7,3.28
2020,Adrian Hardy,42172,WR,LA TECH,7,10.3,12,60.7,18.2,2,11,0,5.6,2,23,208,0,75.8,72.5,70.9,,70,0,0,1,32,0,0,260,0,34,92.7,241,2.7,7,101.9,56,4,97.3,253,442,232,6.8,13,1.83
2020,Bryce Ford-Wheaton,78127,WR,W VIRGINIA,9,13.8,5,48.2,28.6,4,14,0,15.6,5,18,343,0,38.5,72,60.6,,59.9,0,0,1,58,0,0,286,2,27,95.5,273,9.1,26,83.6,56,3,90.9,260,416,223,8.3,15.4,1.52
2020,Antonio Nunn,42411,WR,BUFFALO,7,13.3,7,66.1,41.2,7,17,0,5.1,2,21,126,0,76.7,73,83.5,,83.9,0,0,2,82,0,0,151,0,37,93.4,141,13.2,20,97.6,56,2,86.8,131,584,224,6.1,15.8,4.14
2020,Corey Gammage,98735,WR,MARSHALL,10,12.9,7,62.5,44.4,4,9,0,7.9,3,22,214,0,68.5,72.6,72.2,,72.5,0,0,1,46,0,0,232,1,35,94.8,220,3.9,9,101,56,4,96.1,223,409,128,3.7,11.7,1.86
2020,Hassan Beydoun,78185,WR,E MICHIGAN,5,10.6,3,72.7,58.3,7,12,0,7,3,26,160,0,71,74.1,83.8,,83.5,0,0,2,66,0,0,160,0,40,95.6,153,98.1,157,86,55,0,1.9,3,508,209,5.2,12.7,3.32
2020,JuanCarlos Santana,78056,WR,TULSA,9,15.4,9,61.8,23.1,3,13,1,8.1,3,23,320,2,67.1,22.7,69.5,,69.6,0,0,1,57,0,0,271,3,34,95.2,258,10.7,29,111.4,55,4,89.3,242,543,198,5.8,16,2.1
2020,Austin Watkins,84457,WR,UAB,7,15.7,7,63.6,72.7,8,11,0,0,0,24,321,1,90.3,36.9,75.7,,75.9,0,0,2,56,0,0,205,0,35,96.6,198,12.2,25,94.3,55,3,87.8,180,477,105,3,13.6,2.41
2020,Jacob Harris,34255,WR,UCF,10,16.6,1,54.5,43.8,7,16,0,23.1,9,22,323,0,27.7,72,60.7,63.3,59.5,0.8,3,2,55,0.3,1,380,2,30,93.4,355,34.2,130,112.8,55,8,65,247,539,120,4,18,1.52
2020,Jalen Nailor,84292,WR,MICH STATE,7,16,3,47.3,33.3,2,6,0,16.1,5,22,223,0,37.1,74.9,62.8,,64.4,0,0,6,75,0,0,247,2,26,96,237,3.6,9,65.2,55,4,96.4,238,515,147,5.7,19.8,2.17
2020,Rashod Bateman,84296,WR,MINNESOTA,5,10.4,9,65.5,40,4,10,0,14.3,6,25,225,0,48.5,72.4,81.1,,81.9,0,0,3,39,0,0,143,0,36,95.8,137,67.1,96,81.8,55,2,32.9,47,472,192,5.3,13.1,3.45
2020,Neil Pau'u,52010,WR,BYU,12,11.6,2,80,41.7,5,12,0,4.3,2,32,128,1,80.8,48.1,78.1,61.9,79.2,0,0,1,35,0.3,1,301,0,44,92,277,73.4,221,122.9,55,3,26.6,80,602,150,3.4,13.7,2.17
2020,Sam Crawford Jr.,78052,WR,TULSA,9,11.2,1,51.9,30,3,10,1,9.7,3,18,320,0,64.3,71.7,60.2,,60.5,0,0,2,54,0,0,322,3,28,93.2,300,3.7,12,64.9,54,1,96.3,310,374,131,4.7,13.4,1.25
