player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Wan'Dale Robinson,101735,WR,NYG,4,3.4,2,88.0,50.0,1,2,1,0.0,0,10,21,0,84.5,75.6,67.3,,67.5,1.9,2,0,13,0.0,0,104,1,22,93.3,97,79.8,83,90.2,25,0,15.4,16,141,72,3.3,6.4,1.45
Mike Williams,11762,WR,LAC,3,12.4,4,76.0,71.4,5,7,0,0.0,0,9,27,0,83.2,74.5,74.6,,73.5,0.9,1,0,49,0.0,0,113,0,19,94.7,107,28.3,32,120.3,25,1,70.8,80,249,105,5.5,13.1,2.33
Tyler Conklin,47124,TE,NYJ,6,7.6,1,80.0,80.0,4,5,0,0.0,0,8,22,0,83.6,74.4,65.1,65.9,67.0,37.6,64,0,37,7.6,13,170,0,20,87.6,149,51.2,87,104.5,25,0,11.2,19,227,104,5.2,11.4,1.52
Logan Thomas,8755,TE,WAS,5,7.6,0,76.0,33.3,2,6,0,9.5,2,9,32,1,58.1,25.1,65.4,59.7,61.8,21.9,40,0,27,7.1,13,183,1,19,86.3,158,48.1,88,122.9,25,2,30.1,55,185,66,3.5,9.7,1.17
Allen Robinson II,8696,WR,PIT,5,6.7,1,68.0,60.0,3,5,0,0.0,0,4,25,0,82.2,73.6,56.2,68.0,55.2,2.4,4,0,31,1.2,2,170,0,17,94.1,160,72.4,123,81.6,25,0,25.3,43,137,35,2.1,8.1,0.86
Terrace Marshall Jr.,84271,WR,CAR,5,8.0,0,64.0,33.3,1,3,0,11.1,2,7,5,1,54.3,23.2,59.4,,58.7,0.0,0,1,14,0.0,0,146,1,16,94.5,138,26.0,38,57.4,25,0,74.0,108,112,45,2.8,7.0,0.81
Chigoziem Okonkwo,84000,TE,TEN,6,7.0,3,68.0,40.0,2,5,1,10.5,2,5,31,0,54.3,73.6,55.2,58.4,56.5,32.4,56,1,20,12.1,21,173,4,17,79.8,138,48.6,84,62.4,25,0,12.7,22,122,57,3.4,7.2,0.88
Jayden Reed,78171,WR,GB,5,13.6,0,52.0,0.0,0,5,0,13.3,2,9,12,0,52.8,79.5,66.0,62.4,66.8,0.0,0,0,44,0.8,1,133,1,13,92.5,123,73.7,98,107.1,25,2,26.3,35,210,67,5.2,16.2,1.71
Kylen Granson,40630,TE,IND,6,7.6,0,64.0,50.0,1,2,0,11.1,2,11,14,0,52.8,73.3,57.2,70.4,58.7,37.0,61,0,45,1.2,2,165,1,16,93.3,154,49.1,81,97.1,25,1,11.5,19,170,73,4.6,10.6,1.1
Rashid Shaheed,63707,WR,NO,6,18.4,2,64.0,66.7,2,3,0,5.9,1,12,20,0,67.0,51.9,70.1,,68.6,0.0,0,0,51,0.0,0,187,1,16,96.3,180,42.2,79,131.8,25,2,56.1,105,298,57,3.6,18.6,1.66
